,country,sector,year,1K_tonne_oil_equivalent
605,Belgium,households,2012,"8,477.623"
606,Bulgaria,households,2012,"2,352.559"
607,Czechia,households,2012,"7,115.570"
608,Denmark,households,2012,"4,444.480"
609,Germany (until 1990 former territory of the FRG),households,2012,"59,188.124"
610,Estonia,households,2012,970.828
611,Ireland,households,2012,"2,993.109"
612,Greece,households,2012,"5,096.015"
613,Spain,households,2012,"15,559.425"
614,France,households,2012,"43,930.024"
615,Croatia,households,2012,"2,561.737"
616,Italy,households,2012,"34,348.336"
617,Cyprus,households,2012,351.763
618,Latvia,households,2012,"1,376.240"
619,Lithuania,households,2012,"1,534.798"
620,Luxembourg,households,2012,491.101
621,Hungary,households,2012,"6,375.847"
622,Malta,households,2012,72.178
623,Netherlands,households,2012,"10,866.787"
624,Austria,households,2012,"6,677.912"
625,Poland,households,2012,"20,812.831"
626,Portugal,households,2012,"2,694.958"
627,Romania,households,2012,"8,060.582"
628,Slovenia,households,2012,"1,255.831"
629,Slovakia,households,2012,"2,070.086"
630,Finland,households,2012,"5,455.636"
631,Sweden,households,2012,"8,053.653"
632,Iceland,households,2012,400.502
633,Norway,households,2012,"4,492.146"
634,United Kingdom,households,2012,"40,957.945"
635,Montenegro,households,2012,281.347
636,North Macedonia,households,2012,559.010
637,Albania,households,2012,509.086
638,Serbia,households,2012,"3,122.404"
639,Turkey,households,2012,"20,187.463"
640,Bosnia and Herzegovina,households,2012,:
641,Kosovo (under United Nations Security Council Resolution 1244/99),households,2012,474.234
642,Moldova,households,2012,"1,155.360"
643,Ukraine,households,2012,"23,454.289"
644,Georgia,households,2012,:
645,European Union - 27 countries (from 2020),total,2013,"931,738.234"
646,European Union - 28 countries (2013-2020),total,2013,"1,055,133.647"
647,Euro area - 19 countries  (from 2015),total,2013,"748,337.481"
648,Belgium,total,2013,"33,957.247"
649,Bulgaria,total,2013,"8,680.757"
650,Czechia,total,2013,"23,126.347"
651,Denmark,total,2013,"13,461.011"
652,Germany (until 1990 former territory of the FRG),total,2013,"208,016.793"
653,Estonia,total,2013,"2,845.028"
654,Ireland,total,2013,"10,218.743"
655,Greece,total,2013,"14,668.337"
656,Spain,total,2013,"75,936.004"
657,France,total,2013,"149,009.849"
658,Croatia,total,2013,"6,468.037"
659,Italy,total,2013,"114,053.675"
660,Cyprus,total,2013,"1,372.455"
661,Latvia,total,2013,"3,732.245"
662,Lithuania,total,2013,"4,712.305"
663,Luxembourg,total,2013,"3,749.112"
664,Hungary,total,2013,"16,255.431"
665,Malta,total,2013,421.114
666,Netherlands,total,2013,"47,160.000"
667,Austria,total,2013,"25,798.750"
668,Poland,total,2013,"62,106.266"
669,Portugal,total,2013,"14,908.318"
670,Romania,total,2013,"21,631.325"
671,Slovenia,total,2013,"4,804.230"
672,Slovakia,total,2013,"9,412.124"
673,Finland,total,2013,"23,561.152"
674,Sweden,total,2013,"31,671.579"
675,Iceland,total,2013,"2,706.726"
676,Norway,total,2013,"18,998.249"
677,United Kingdom,total,2013,"123,395.413"
678,Montenegro,total,2013,640.991
679,North Macedonia,total,2013,"1,814.802"
680,Albania,total,2013,"1,961.871"
681,Serbia,total,2013,"8,201.681"
682,Turkey,total,2013,"78,466.784"
683,Bosnia and Herzegovina,total,2013,:
684,Kosovo (under United Nations Security Council Resolution 1244/99),total,2013,"1,167.578"
685,Moldova,total,2013,"2,294.391"
686,Ukraine,total,2013,"65,144.066"
687,Georgia,total,2013,"3,426.033"
688,European Union - 27 countries (from 2020),industry sector,2013,"236,980.802"
689,European Union - 28 countries (2013-2020),industry sector,2013,"260,624.564"
690,Euro area - 19 countries  (from 2015),industry sector,2013,"189,469.514"
691,Belgium,industry sector,2013,"10,780.448"
692,Bulgaria,industry sector,2013,"2,595.527"
693,Czechia,industry sector,2013,"6,421.714"
694,Denmark,industry sector,2013,"2,179.683"
695,Germany (until 1990 former territory of the FRG),industry sector,2013,"56,347.486"
696,Estonia,industry sector,2013,644.309
697,Ireland,industry sector,2013,"1,796.665"
698,Greece,industry sector,2013,"2,835.531"
699,Spain,industry sector,2013,"19,448.524"
700,France,industry sector,2013,"29,396.099"
701,Croatia,industry sector,2013,"1,075.385"
702,Italy,industry sector,2013,"25,353.587"
703,Cyprus,industry sector,2013,186.089
704,Latvia,industry sector,2013,767.643
705,Lithuania,industry sector,2013,"1,037.327"
706,Luxembourg,industry sector,2013,646.729
707,Hungary,industry sector,2013,"3,725.701"
708,Malta,industry sector,2013,52.230
709,Netherlands,industry sector,2013,"13,501.601"
710,Austria,industry sector,2013,"7,493.815"
711,Poland,industry sector,2013,"14,210.705"
712,Portugal,industry sector,2013,"4,598.647"
713,Romania,industry sector,2013,"6,272.845"
714,Slovenia,industry sector,2013,"1,197.651"
715,Slovakia,industry sector,2013,"3,114.817"
716,Finland,industry sector,2013,"10,270.316"
717,Sweden,industry sector,2013,"11,029.728"
718,Iceland,industry sector,2013,"1,424.410"
719,Norway,industry sector,2013,"5,896.522"
720,United Kingdom,industry sector,2013,"23,643.762"
721,Montenegro,industry sector,2013,183.351
722,North Macedonia,industry sector,2013,555.332
723,Albania,industry sector,2013,281.451
724,Serbia,industry sector,2013,"2,395.892"
725,Turkey,industry sector,2013,"24,029.040"
726,Bosnia and Herzegovina,industry sector,2013,:
727,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2013,262.900
728,Moldova,industry sector,2013,250.298
729,Ukraine,industry sector,2013,"21,841.758"
730,Georgia,industry sector,2013,653.378
731,European Union - 27 countries (from 2020),transport sector,2013,"265,761.719"
732,European Union - 28 countries (2013-2020),transport sector,2013,"305,253.276"
733,Euro area - 19 countries  (from 2015),transport sector,2013,"219,914.258"
734,Belgium,transport sector,2013,"8,388.577"
735,Bulgaria,transport sector,2013,"2,620.341"
736,Czechia,transport sector,2013,"5,738.681"
737,Denmark,transport sector,2013,"4,022.006"
738,Germany (until 1990 former territory of the FRG),transport sector,2013,"54,240.042"
739,Estonia,transport sector,2013,739.198
740,Ireland,transport sector,2013,"3,660.943"
741,Greece,transport sector,2013,"5,608.770"
742,Spain,transport sector,2013,"28,189.828"
743,France,transport sector,2013,"44,932.696"
744,Croatia,transport sector,2013,"1,925.168"
745,Italy,transport sector,2013,"35,701.272"
746,Cyprus,transport sector,2013,619.936
747,Latvia,transport sector,2013,939.540
748,Lithuania,transport sector,2013,"1,502.068"
749,Luxembourg,transport sector,2013,"2,166.162"
750,Hungary,transport sector,2013,"3,459.986"
751,Malta,transport sector,2013,183.709
752,Netherlands,transport sector,2013,"10,984.586"
753,Austria,transport sector,2013,"8,293.103"
754,Poland,transport sector,2013,"15,744.034"
755,Portugal,transport sector,2013,"5,435.469"
756,Romania,transport sector,2013,"5,188.743"
757,Slovenia,transport sector,2013,"1,809.666"
758,Slovakia,transport sector,2013,"2,308.716"
759,Finland,transport sector,2013,"4,209.977"
760,Sweden,transport sector,2013,"7,148.502"
761,Iceland,transport sector,2013,277.329
762,Norway,transport sector,2013,"4,810.824"
763,United Kingdom,transport sector,2013,"39,491.557"
764,Montenegro,transport sector,2013,165.309
765,North Macedonia,transport sector,2013,514.739
766,Albania,transport sector,2013,804.074
767,Serbia,transport sector,2013,"1,972.215"
768,Turkey,transport sector,2013,"19,638.094"
769,Bosnia and Herzegovina,transport sector,2013,:
770,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2013,270.401
771,Moldova,transport sector,2013,573.806
772,Ukraine,transport sector,2013,"11,848.904"
773,Georgia,transport sector,2013,"1,110.934"
774,European Union - 27 countries (from 2020),commercial and public services,2013,"132,389.633"
775,European Union - 28 countries (2013-2020),commercial and public services,2013,"148,975.215"
776,Euro area - 19 countries  (from 2015),commercial and public services,2013,"109,484.829"
777,Belgium,commercial and public services,2013,"4,824.798"
778,Bulgaria,commercial and public services,2013,"1,029.822"
779,Czechia,commercial and public services,2013,"3,010.066"
780,Denmark,commercial and public services,2013,"1,964.487"
781,Germany (until 1990 former territory of the FRG),commercial and public services,2013,"33,508.900"
782,Estonia,commercial and public services,2013,417.892
783,Ireland,commercial and public services,2013,"1,584.298"
784,Greece,commercial and public services,2013,"1,820.639"
785,Spain,commercial and public services,2013,"9,680.135"
786,France,commercial and public services,2013,"23,211.355"
787,Croatia,commercial and public services,2013,740.703
788,Italy,commercial and public services,2013,"15,846.527"
789,Cyprus,commercial and public services,2013,203.120
790,Latvia,commercial and public services,2013,600.446
791,Lithuania,commercial and public services,2013,593.023
792,Luxembourg,commercial and public services,2013,410.617
793,Hungary,commercial and public services,2013,"2,337.107"
794,Malta,commercial and public services,2013,103.516
795,Netherlands,commercial and public services,2013,"7,267.758"
796,Austria,commercial and public services,2013,"2,539.345"
797,Poland,commercial and public services,2013,"8,078.737"
798,Portugal,commercial and public services,2013,"1,786.725"
799,Romania,commercial and public services,2013,"1,784.900"
800,Slovenia,commercial and public services,2013,467.775
801,Slovakia,commercial and public services,2013,"1,710.558"
802,Finland,commercial and public services,2013,"2,907.402"
803,Sweden,commercial and public services,2013,"3,958.982"
804,Iceland,commercial and public services,2013,333.381
805,Norway,commercial and public services,2013,"2,976.144"
806,United Kingdom,commercial and public services,2013,"16,585.582"
807,Montenegro,commercial and public services,2013,13.741
808,North Macedonia,commercial and public services,2013,201.851
809,Albania,commercial and public services,2013,190.984
810,Serbia,commercial and public services,2013,803.644
811,Turkey,commercial and public services,2013,"10,611.925"
812,Bosnia and Herzegovina,commercial and public services,2013,:
813,Kosovo (under United Nations Security Council Resolution 1244/99),commercial and public services,2013,115.457
814,Moldova,commercial and public services,2013,258.252
815,Ukraine,commercial and public services,2013,"5,767.651"
816,Georgia,commercial and public services,2013,351.850
817,European Union - 27 countries (from 2020),households,2013,"266,311.872"
818,European Union - 28 countries (2013-2020),households,2013,"307,770.131"
819,Euro area - 19 countries  (from 2015),households,2013,"207,706.184"
820,Belgium,households,2013,"9,098.495"
821,Bulgaria,households,2013,"2,241.036"
822,Czechia,households,2013,"7,269.133"
823,Denmark,households,2013,"4,484.149"
824,Germany (until 1990 former territory of the FRG),households,2013,"62,517.628"
825,Estonia,households,2013,933.506
826,Ireland,households,2013,"2,928.122"
827,Greece,households,2013,"3,821.337"
828,Spain,households,2013,"14,918.435"
829,France,households,2013,"46,112.909"
830,Croatia,households,2013,"2,493.049"
831,Italy,households,2013,"34,230.620"
832,Cyprus,households,2013,306.622
833,Latvia,households,2013,"1,267.242"
834,Lithuania,households,2013,"1,467.198"
835,Luxembourg,households,2013,499.205
836,Hungary,households,2013,"6,209.747"
837,Malta,households,2013,73.999
838,Netherlands,households,2013,"11,412.549"
839,Austria,households,2013,"6,923.356"
840,Poland,households,2013,"20,492.342"
841,Portugal,households,2013,"2,634.808"
842,Romania,households,2013,"7,721.970"
843,Slovenia,households,2013,"1,240.442"
844,Slovakia,households,2013,"2,146.977"
845,Finland,households,2013,"5,172.734"
846,Sweden,households,2013,"7,694.262"
847,Iceland,households,2013,399.164
848,Norway,households,2013,"4,466.034"
849,United Kingdom,households,2013,"41,458.259"
850,Montenegro,households,2013,269.251
851,North Macedonia,households,2013,519.019
852,Albania,households,2013,580.003
853,Serbia,households,2013,"2,846.752"
854,Turkey,households,2013,"19,807.984"
855,Bosnia and Herzegovina,households,2013,:
856,Kosovo (under United Nations Security Council Resolution 1244/99),households,2013,494.163
857,Moldova,households,2013,"1,147.203"
858,Ukraine,households,2013,"23,446.497"
859,Georgia,households,2013,"1,159.320"
860,European Union - 27 countries (from 2020),total,2014,"890,666.634"
861,European Union - 28 countries (2013-2020),total,2014,"1,007,260.671"
862,Euro area - 19 countries  (from 2015),total,2014,"711,904.221"
863,Belgium,total,2014,"31,575.035"
864,Bulgaria,total,2014,"8,881.501"
865,Czechia,total,2014,"22,439.445"
866,Denmark,total,2014,"12,932.392"
867,Germany (until 1990 former territory of the FRG),total,2014,"197,179.267"
868,Estonia,total,2014,"2,773.310"
869,Ireland,total,2014,"10,149.997"
870,Greece,total,2014,"14,804.112"
871,Spain,total,2014,"75,025.928"
872,France,total,2014,"137,957.092"
873,Croatia,total,2014,"6,130.773"
874,Italy,total,2014,"108,848.350"
875,Cyprus,total,2014,"1,377.348"
876,Latvia,total,2014,"3,776.066"
877,Lithuania,total,2014,"4,800.537"
878,Luxembourg,total,2014,"3,599.437"
879,Hungary,total,2014,"15,775.708"
880,Malta,total,2014,435.716
881,Netherlands,total,2014,"42,691.806"
882,Austria,total,2014,"24,760.526"
883,Poland,total,2014,"60,203.402"
884,Portugal,total,2014,"15,386.388"
885,Romania,total,2014,"21,470.367"
886,Slovenia,total,2014,"4,608.016"
887,Slovakia,total,2014,"8,740.489"
888,Finland,total,2014,"23,414.801"
889,Sweden,total,2014,"30,928.825"
890,Iceland,total,2014,"2,739.703"
891,Norway,total,2014,"18,454.157"
892,United Kingdom,total,2014,"116,594.037"
893,Montenegro,total,2014,628.575
894,North Macedonia,total,2014,"1,797.481"
895,Albania,total,2014,"2,058.574"
896,Serbia,total,2014,"7,681.612"
897,Turkey,total,2014,"80,844.293"
898,Bosnia and Herzegovina,total,2014,"3,103.624"
899,Kosovo (under United Nations Security Council Resolution 1244/99),total,2014,"1,230.700"
900,Moldova,total,2014,"2,295.133"
901,Ukraine,total,2014,"57,893.824"
902,Georgia,total,2014,"3,716.227"
903,European Union - 27 countries (from 2020),industry sector,2014,"233,654.701"
904,European Union - 28 countries (2013-2020),industry sector,2014,"256,622.404"
905,Euro area - 19 countries  (from 2015),industry sector,2014,"186,439.315"
906,Belgium,industry sector,2014,"10,631.020"
907,Bulgaria,industry sector,2014,"2,617.523"
908,Czechia,industry sector,2014,"6,325.607"
909,Denmark,industry sector,2014,"2,120.722"
910,Germany (until 1990 former territory of the FRG),industry sector,2014,"55,725.644"
911,Estonia,industry sector,2014,554.780
912,Ireland,industry sector,2014,"1,968.905"
913,Greece,industry sector,2014,"3,088.300"
914,Spain,industry sector,2014,"19,147.523"
915,France,industry sector,2014,"28,145.987"
916,Croatia,industry sector,2014,"1,066.757"
917,Italy,industry sector,2014,"24,739.085"
918,Cyprus,industry sector,2014,225.539
919,Latvia,industry sector,2014,791.158
920,Lithuania,industry sector,2014,"1,033.722"
921,Luxembourg,industry sector,2014,656.966
922,Hungary,industry sector,2014,"3,705.025"
923,Malta,industry sector,2014,55.495
924,Netherlands,industry sector,2014,"13,236.577"
925,Austria,industry sector,2014,"7,341.643"
926,Poland,industry sector,2014,"14,153.252"
927,Portugal,industry sector,2014,"4,405.499"
928,Romania,industry sector,2014,"6,427.425"
929,Slovenia,industry sector,2014,"1,231.213"
930,Slovakia,industry sector,2014,"3,241.628"
931,Finland,industry sector,2014,"10,218.631"
932,Sweden,industry sector,2014,"10,799.075"
933,Iceland,industry sector,2014,"1,442.055"
934,Norway,industry sector,2014,"5,819.285"
935,United Kingdom,industry sector,2014,"22,967.703"
936,Montenegro,industry sector,2014,133.191
937,North Macedonia,industry sector,2014,517.614
938,Albania,industry sector,2014,372.768
939,Serbia,industry sector,2014,"1,955.640"
940,Turkey,industry sector,2014,"25,101.897"
941,Bosnia and Herzegovina,industry sector,2014,717.286
942,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2014,245.253
943,Moldova,industry sector,2014,227.156
944,Ukraine,industry sector,2014,"20,568.374"
945,Georgia,industry sector,2014,678.498
946,European Union - 27 countries (from 2020),transport sector,2014,"269,243.768"
947,European Union - 28 countries (2013-2020),transport sector,2014,"309,352.038"
948,Euro area - 19 countries  (from 2015),transport sector,2014,"222,332.271"
949,Belgium,transport sector,2014,"8,521.596"
950,Bulgaria,transport sector,2014,"2,916.487"
951,Czechia,transport sector,2014,"5,948.768"
952,Denmark,transport sector,2014,"4,054.275"
953,Germany (until 1990 former territory of the FRG),transport sector,2014,"55,445.775"
954,Estonia,transport sector,2014,741.510
955,Ireland,transport sector,2014,"3,815.261"
956,Greece,transport sector,2014,"5,635.497"
957,Spain,transport sector,2014,"28,413.265"
958,France,transport sector,2014,"45,193.191"
959,Croatia,transport sector,2014,"1,901.456"
960,Italy,transport sector,2014,"37,009.372"
961,Cyprus,transport sector,2014,599.542
962,Latvia,transport sector,2014,982.367
963,Lithuania,transport sector,2014,"1,662.623"
964,Luxembourg,transport sector,2014,"2,086.911"
965,Hungary,transport sector,2014,"3,873.295"
966,Malta,transport sector,2014,187.942
967,Netherlands,transport sector,2014,"10,261.810"
968,Austria,transport sector,2014,"8,226.268"
969,Poland,transport sector,2014,"15,804.963"
970,Portugal,transport sector,2014,"5,464.228"
971,Romania,transport sector,2014,"5,266.333"
972,Slovenia,transport sector,2014,"1,794.900"
973,Slovakia,transport sector,2014,"2,176.422"
974,Finland,transport sector,2014,"4,113.791"
975,Sweden,transport sector,2014,"7,145.920"
976,Iceland,transport sector,2014,278.661
977,Norway,transport sector,2014,"4,846.899"
978,United Kingdom,transport sector,2014,"40,108.270"
979,Montenegro,transport sector,2014,162.866
980,North Macedonia,transport sector,2014,537.470
981,Albania,transport sector,2014,833.978
982,Serbia,transport sector,2014,"2,041.408"
983,Turkey,transport sector,2014,"20,972.194"
984,Bosnia and Herzegovina,transport sector,2014,988.905
985,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2014,344.017
986,Moldova,transport sector,2014,593.361
987,Ukraine,transport sector,2014,"10,299.778"
988,Georgia,transport sector,2014,"1,256.162"
989,European Union - 27 countries (from 2020),commercial and public services,2014,"123,159.093"
990,European Union - 28 countries (2013-2020),commercial and public services,2014,"138,682.674"
991,Euro area - 19 countries  (from 2015),commercial and public services,2014,"101,072.023"
992,Belgium,commercial and public services,2014,"4,182.076"
993,Bulgaria,commercial and public services,2014,992.002
994,Czechia,commercial and public services,2014,"2,922.578"
995,Denmark,commercial and public services,2014,"1,847.338"
996,Germany (until 1990 former territory of the FRG),commercial and public services,2014,"30,716.283"
997,Estonia,commercial and public services,2014,457.642
998,Ireland,commercial and public services,2014,"1,497.184"
999,Greece,commercial and public services,2014,"1,714.028"
1000,Spain,commercial and public services,2014,"8,962.284"
1001,France,commercial and public services,2014,"21,337.977"
1002,Croatia,commercial and public services,2014,693.230
1003,Italy,commercial and public services,2014,"14,666.679"
1004,Cyprus,commercial and public services,2014,200.484
1005,Latvia,commercial and public services,2014,608.772
1006,Lithuania,commercial and public services,2014,585.668
1007,Luxembourg,commercial and public services,2014,360.831
1008,Hungary,commercial and public services,2014,"2,114.780"
1009,Malta,commercial and public services,2014,110.711
1010,Netherlands,commercial and public services,2014,"6,412.357"
1011,Austria,commercial and public services,2014,"2,423.632"
1012,Poland,commercial and public services,2014,"7,788.281"
1013,Portugal,commercial and public services,2014,"2,284.617"
1014,Romania,commercial and public services,2014,"1,768.388"
1015,Slovenia,commercial and public services,2014,427.211
1016,Slovakia,commercial and public services,2014,"1,233.318"
1017,Finland,commercial and public services,2014,"2,890.269"
1018,Sweden,commercial and public services,2014,"3,960.473"
1019,Iceland,commercial and public services,2014,363.777
1020,Norway,commercial and public services,2014,"2,816.554"
1021,United Kingdom,commercial and public services,2014,"15,523.581"
1022,Montenegro,commercial and public services,2014,68.962
1023,North Macedonia,commercial and public services,2014,196.034
1024,Albania,commercial and public services,2014,179.239
1025,Serbia,commercial and public services,2014,772.340
1026,Turkey,commercial and public services,2014,"11,021.419"
1027,Bosnia and Herzegovina,commercial and public services,2014,163.649
1028,Kosovo (under United Nations Security Council Resolution 1244/99),commercial and public services,2014,139.135
1029,Moldova,commercial and public services,2014,237.402
1030,Ukraine,commercial and public services,2014,"4,664.962"
1031,Georgia,commercial and public services,2014,433.077
1032,European Union - 27 countries (from 2020),households,2014,"234,893.426"
1033,European Union - 28 countries (2013-2020),households,2014,"270,706.525"
1034,Euro area - 19 countries  (from 2015),households,2014,"180,638.205"
1035,Belgium,households,2014,"7,489.331"
1036,Bulgaria,households,2014,"2,164.991"
1037,Czechia,households,2014,"6,554.173"
1038,Denmark,households,2014,"4,146.300"
1039,Germany (until 1990 former territory of the FRG),households,2014,"53,648.149"
1040,Estonia,households,2014,888.143
1041,Ireland,households,2014,"2,639.381"
1042,Greece,households,2014,"3,844.875"
1043,Spain,households,2014,"14,814.310"
1044,France,households,2014,"38,019.306"
1045,Croatia,households,2014,"2,228.381"
1046,Italy,households,2014,"29,545.980"
1047,Cyprus,households,2014,293.742
1048,Latvia,households,2014,"1,238.471"
1049,Lithuania,households,2014,"1,400.900"
1050,Luxembourg,households,2014,469.379
1051,Hungary,households,2014,"5,487.452"
1052,Malta,households,2014,73.904
1053,Netherlands,households,2014,"9,116.954"
1054,Austria,households,2014,"6,239.870"
1055,Poland,households,2014,"19,034.910"
1056,Portugal,households,2014,"2,776.692"
1057,Romania,households,2014,"7,409.681"
1058,Slovenia,households,2014,"1,060.707"
1059,Slovakia,households,2014,"1,951.912"
1060,Finland,households,2014,"5,126.199"
1061,Sweden,households,2014,"7,229.333"
1062,Iceland,households,2014,384.692
1063,Norway,households,2014,"4,203.554"
1064,United Kingdom,households,2014,"35,813.099"
1065,Montenegro,households,2014,256.273
1066,North Macedonia,households,2014,523.579
1067,Albania,households,2014,556.243
1068,Serbia,households,2014,"2,752.774"
1069,Turkey,households,2014,"19,166.344"
1070,Bosnia and Herzegovina,households,2014,980.816
1071,Kosovo (under United Nations Security Council Resolution 1244/99),households,2014,479.943
1072,Moldova,households,2014,"1,169.757"
1073,Ukraine,households,2014,"20,357.427"
1074,Georgia,households,2014,"1,194.979"
1075,European Union - 27 countries (from 2020),total,2015,"909,916.889"
1076,European Union - 28 countries (2013-2020),total,2015,"1,029,980.230"
1077,Euro area - 19 countries  (from 2015),total,2015,"726,617.786"
1078,Belgium,total,2015,"33,096.897"
1079,Bulgaria,total,2015,"9,388.553"
1080,Czechia,total,2015,"23,093.898"
1081,Denmark,total,2015,"13,530.016"
1082,Germany (until 1990 former territory of the FRG),total,2015,"199,966.234"
1083,Estonia,total,2015,"2,750.740"
1084,Ireland,total,2015,"10,470.263"
1085,Greece,total,2015,"15,741.021"
1086,Spain,total,2015,"76,062.028"
1087,France,total,2015,"141,113.854"
1088,Croatia,total,2015,"6,484.349"
1089,Italy,total,2015,"112,108.171"
1090,Cyprus,total,2015,"1,423.923"
1091,Latvia,total,2015,"3,680.167"
1092,Lithuania,total,2015,"4,779.510"
1093,Luxembourg,total,2015,"3,537.079"
1094,Hungary,total,2015,"16,829.628"
1095,Malta,total,2015,462.343
1096,Netherlands,total,2015,"43,699.661"
1097,Austria,total,2015,"25,471.107"
1098,Poland,total,2015,"60,861.471"
1099,Portugal,total,2015,"15,550.875"
1100,Romania,total,2015,"21,600.240"
1101,Slovenia,total,2015,"4,715.243"
1102,Slovakia,total,2015,"8,939.677"
1103,Finland,total,2015,"23,048.993"
1104,Sweden,total,2015,"31,510.948"
1105,Iceland,total,2015,"2,848.624"
1106,Norway,total,2015,"18,605.250"
1107,United Kingdom,total,2015,"120,063.341"
1108,Montenegro,total,2015,662.644
1109,North Macedonia,total,2015,"1,837.589"
1110,Albania,total,2015,"1,963.489"
1111,Serbia,total,2015,"7,885.885"
1112,Turkey,total,2015,"86,846.978"
1113,Bosnia and Herzegovina,total,2015,"3,316.907"
1114,Kosovo (under United Nations Security Council Resolution 1244/99),total,2015,"1,339.928"
1115,Moldova,total,2015,"2,357.098"
1116,Ukraine,total,2015,"47,488.152"
1117,Georgia,total,2015,"3,834.732"
1118,European Union - 27 countries (from 2020),industry sector,2015,"233,343.439"
1119,European Union - 28 countries (2013-2020),industry sector,2015,"256,403.879"
1120,Euro area - 19 countries  (from 2015),industry sector,2015,"185,517.614"
1121,Belgium,industry sector,2015,"10,599.457"
1122,Bulgaria,industry sector,2015,"2,719.641"
1123,Czechia,industry sector,2015,"6,471.744"
1124,Denmark,industry sector,2015,"2,177.005"
1125,Germany (until 1990 former territory of the FRG),industry sector,2015,"56,067.590"
1126,Estonia,industry sector,2015,535.427
1127,Ireland,industry sector,2015,"2,008.161"
1128,Greece,industry sector,2015,"3,128.446"
1129,Spain,industry sector,2015,"18,060.471"
1130,France,industry sector,2015,"27,905.696"
1131,Croatia,industry sector,2015,"1,056.526"
1132,Italy,industry sector,2015,"24,853.372"
1133,Cyprus,industry sector,2015,211.592
1134,Latvia,industry sector,2015,787.780
1135,Lithuania,industry sector,2015,982.755
1136,Luxembourg,industry sector,2015,645.719
1137,Hungary,industry sector,2015,"3,867.221"
1138,Malta,industry sector,2015,55.139
1139,Netherlands,industry sector,2015,"13,129.360"
1140,Austria,industry sector,2015,"7,365.049"
1141,Poland,industry sector,2015,"14,095.620"
1142,Portugal,industry sector,2015,"4,411.521"
1143,Romania,industry sector,2015,"6,418.898"
1144,Slovenia,industry sector,2015,"1,228.021"
1145,Slovakia,industry sector,2015,"3,333.371"
1146,Finland,industry sector,2015,"10,208.687"
1147,Sweden,industry sector,2015,"11,019.170"
1148,Iceland,industry sector,2015,"1,460.048"
1149,Norway,industry sector,2015,"5,943.118"
1150,United Kingdom,industry sector,2015,"23,060.440"
1151,Montenegro,industry sector,2015,131.817
1152,North Macedonia,industry sector,2015,474.779
1153,Albania,industry sector,2015,302.119
1154,Serbia,industry sector,2015,"2,046.575"
1155,Turkey,industry sector,2015,"26,109.622"
1156,Bosnia and Herzegovina,industry sector,2015,756.627
1157,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2015,307.181
1158,Moldova,industry sector,2015,212.330
1159,Ukraine,industry sector,2015,"16,377.631"
1160,Georgia,industry sector,2015,692.130
1161,European Union - 27 countries (from 2020),transport sector,2015,"272,907.387"
1162,European Union - 28 countries (2013-2020),transport sector,2015,"313,796.640"
1163,Euro area - 19 countries  (from 2015),transport sector,2015,"223,892.870"
1164,Belgium,transport sector,2015,"8,910.765"
1165,Bulgaria,transport sector,2015,"3,211.585"
1166,Czechia,transport sector,2015,"6,195.220"
1167,Denmark,transport sector,2015,"4,234.808"
1168,Germany (until 1990 former territory of the FRG),transport sector,2015,"55,144.756"
1169,Estonia,transport sector,2015,760.004
1170,Ireland,transport sector,2015,"3,850.130"
1171,Greece,transport sector,2015,"5,753.399"
1172,Spain,transport sector,2015,"29,426.458"
1173,France,transport sector,2015,"45,663.586"
1174,Croatia,transport sector,2015,"1,997.376"
1175,Italy,transport sector,2015,"36,374.374"
1176,Cyprus,transport sector,2015,621.949
1177,Latvia,transport sector,2015,"1,037.650"
1178,Lithuania,transport sector,2015,"1,750.186"
1179,Luxembourg,transport sector,2015,"1,958.516"
1180,Hungary,transport sector,2015,"4,181.253"
1181,Malta,transport sector,2015,199.764
1182,Netherlands,transport sector,2015,"10,379.947"
1183,Austria,transport sector,2015,"8,459.315"
1184,Poland,transport sector,2015,"16,561.073"
1185,Portugal,transport sector,2015,"5,555.183"
1186,Romania,transport sector,2015,"5,337.702"
1187,Slovenia,transport sector,2015,"1,772.570"
1188,Slovakia,transport sector,2015,"2,168.799"
1189,Finland,transport sector,2015,"4,105.519"
1190,Sweden,transport sector,2015,"7,295.500"
1191,Iceland,transport sector,2015,300.785
1192,Norway,transport sector,2015,"4,955.774"
1193,United Kingdom,transport sector,2015,"40,889.253"
1194,Montenegro,transport sector,2015,186.645
1195,North Macedonia,transport sector,2015,596.422
1196,Albania,transport sector,2015,829.298
1197,Serbia,transport sector,2015,"1,986.102"
1198,Turkey,transport sector,2015,"24,502.533"
1199,Bosnia and Herzegovina,transport sector,2015,"1,030.976"
1200,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2015,380.384
1201,Moldova,transport sector,2015,648.600
1202,Ukraine,transport sector,2015,"8,721.254"
1203,Georgia,transport sector,2015,"1,365.340"
1204,European Union - 27 countries (from 2020),commercial and public services,2015,"129,361.009"
1205,European Union - 28 countries (2013-2020),commercial and public services,2015,"146,202.967"
1206,Euro area - 19 countries  (from 2015),commercial and public services,2015,"106,815.703"
